suites;device_type;operating_system;application;browser
0x0039,0x0038,0x0088,0x0087,0x0035,0x0084,0x0033,0x0032;Desktop;Windows;Browser;MSIE
0x0039,0x006b,0x006a,0x0069,0x0068,0x003d,0x0038,0x0037;;;Browser;Opera
0x0039,0x0088,0x0033,0xc014,0xc011,0xc013,0x0016,0xc007;Desktop;Windows;Browser;MSIE
0x003c,0x002f,0x003d,0x0035,0x0005,0x000a,0xc027,0xc013;Desktop;Windows;Browser;MSIE
0x003c,0x002f,0x003d,0x0035,0x000a,0xc027,0xc013,0xc014;Desktop;Windows;Browser;MSIE
0x006b,0x006a,0x0069,0x0068,0x003d,0x0039,0x0038,0x0037;;;Browser;Opera
0x0088,0x0087,0x0039,0x0038,0x0084,0x0035,0x0045,0x0044;;;Application;
0x0088,0x0087,0x0084,0x0045,0x0044,0x0041,0x0039,0x0038;;;Application;
0x009d,0x003d,0x0035,0x009c,0x003c,0x002f,0x000a,0x00ff;Mobile;Android;Application;
0x009e,0x0033,0x0032,0x0067,0x0039,0x0038,0x006b,0x0016;;;Command line;
0x00a3,0x009f,0x006b,0x006a,0x0039,0x0038,0x0088,0x0087;Desktop;Windows;Browser;MSIE
0x00ff,0x0039,0x0038,0x0037,0x0036,0x0035,0x0033,0x0032;Mobile;Android;Browser;Opera
0x00ff,0x006b,0x006a,0x0069,0x0068,0x003d,0x0039,0x0038;;;Browser;Opera
0x00ff,0x0088,0x0087,0x0039,0x0038,0x0084,0x0035,0x0045;Desktop;Linux;Browser;
0x00ff,0x5600,0xc024,0xc023,0xc00a,0xc009,0xc008,0xc028;Mobile;iOS;;
0x00ff,0xc00a,0xc009,0xc007,0xc008,0xc014,0xc013,0xc011;Desktop;Mac OS X;Browser;Safari
0x00ff,0xc00a,0xc014,0x0039,0x0038,0xc00f,0xc005,0x0035;Desktop;Linux;Browser;Firefox
0x00ff,0xc00a,0xc014,0x0088,0x0087,0x0038,0xc00f,0xc005;Desktop;Linux;Browser;Firefox
0x00ff,0xc00a,0xc014,0x0088,0x0087,0x0039,0x0038,0xc00f;Desktop;Linux;Browser;Firefox
0x00ff,0xc024,0xc023,0xc00a,0xc009,0xc007,0xc008,0xc028;Mobile;iOS;Browser;Safari
0x00ff,0xc024,0xc023,0xc00a,0xc009,0xc007,0xc028,0xc027;Mobile;iOS;Application;
0x00ff,0xc024,0xc023,0xc00a,0xc009,0xc008,0xc028,0xc027;Mobile;iOS;Browser;Safari
0x00ff,0xc024,0xc023,0xc00a,0xc009,0xc028,0xc027,0xc014;Mobile;iOS;Application;
0x00ff,0xc02c,0xc030,0x009f,0xc024,0xc028,0x006b,0xc00a;Desktop;Windows;Browser;MSIE
0x5600,0xc00a,0xc009,0xc013,0xc014,0xc007,0xc011,0x0033;;;Browser;
0x5600,0xc00a,0xc009,0xc013,0xc014,0xc012,0xc007,0xc011;;;Application;
0xc007,0xc011,0xc009,0xc013,0xc00a,0xc014,0x0005,0x0004;Desktop;Windows;Browser;Firefox
0xc009,0xc00a,0xc008,0xc007,0xc013,0xc014,0xc012,0xc011;;;Crawler;
0xc009,0xc00a,0xc013,0xc014,0x0033,0x0039,0x0032,0x0038;Mobile;Android;;
0xc009,0xc013,0x002f,0xc004,0xc00e,0x0033,0x0032,0xc007;Desktop;Windows;;
0xc009,0xc013,0x002f,0xc004,0xc00e,0x0033,0x0032,0xc008;;;Crawler;
0xc009,0xc013,0xc00a,0xc014,0x0033,0x0039,0x0032,0x0038;;;Application;
0xc009,0xc023,0xc00a,0xc024,0xc008,0xc013,0xc027,0xc014;Desktop;Linux;Browser;Safari
0xc00a,0xc009,0xc007,0xc008,0xc013,0xc014,0xc011,0xc012;;;Browser;Safari
0xc00a,0xc009,0xc013,0xc014,0xc007,0xc011,0x0033,0x0032;;;Browser;
0xc00a,0xc014,0x0035,0xc005,0xc00f,0x0039,0x0038;;;Crawler;
0xc00a,0xc014,0x0039,0x0035,0xc007,0xc009,0xc011;;;Browser;Chrome
0xc00a,0xc014,0x0039,0x0038,0xc00f,0xc005,0x0035;Desktop;Windows;;
0xc00a,0xc014,0x0039,0x006b,0x0035,0x003d,0xc007;;;Browser;
0xc00a,0xc014,0x0088,0x0087,0x0038,0xc00f,0xc005;Desktop;Linux;Browser;Chrome
0xc00a,0xc014,0x0088,0x0087,0x0039,0x0038,0xc00f;;;Browser;Firefox
0xc00a,0xc014,0x0088,0x0087,0x0039,0x0038,0xc00f;Desktop;Windows;Browser;Chrome
0xc00d,0xc014,0x0033,0xc00e,0xc004,0x0014,0x0003;Mobile;Android;Browser;Safari
0xc013,0x0004,0x0005,0x002f,0x0035,0xc002,0xc004;Mobile;Android;;
0xc013,0xc009,0xc014,0xc00a,0x0033,0x0039,0x0032;;;Crawler;
0xc013,0xc014,0xc00a,0xc00f,0xc005,0x0035,0x0084;;;Application;
0xc013,0xc02b,0xc02c,0xc02f,0xc030,0x009e,0x009f;Mobile;Android;;
0xc014,0x0039,0x006b,0x0035,0x003d,0xc011,0xc013;;;Application;
0xc014,0x0088,0x0087,0x0039,0x0038,0xc00f,0x0084;;;Browser;Chrome
0xc014,0xc00a,0x0039,0x0038,0x0035,0xc012,0xc008;Mobile;Android;Browser;Chrome
0xc014,0xc00a,0x0039,0x0038,0x0035,0xc013,0xc009;;;Browser;Firefox
0xc014,0xc00a,0x0039,0x0038,0x0037,0x0036,0x0035;Mobile;Android;Browser;Chrome
0xc014,0xc00a,0x0039,0x0038,0x0037,0x0036,0xcc14;Mobile;Android;Browser;Chrome
